objectid,Parish,County,Major social category,Category sub group,Quantity_Period_A (To AD 260),Quantity_Period_B  (AD 260-296),Quantity_Period_C (AD 296-330),Quantity_Period_D (AD 330-364),Quantity_Period_E (AD 364-402),Total quantity (ABCDE),lat,long
1,Bath,Bath and North East Somerset,Nucleated,Temple,6220,1924,445,2118,314,11021,51.38058,-2.360902
2,Radstock,Bath and North East Somerset,Nucleated,Undefended,94,476,48,482,55,1155,51.29130173,-2.44689012
3,Hinton_Charterhouse,Bath and North East Somerset,Rural,Farmstead,2,4,0,12,7,25,51.32640076,-2.32027006
4,Saltford,Bath and North East Somerset,PAS Rural,,6,80,22,48,7,163,51.40259933,-2.46071005
5,Chew_Stoke,Bath and North East Somerset,Rural,Temple,0,57,18,83,68,226,51.34970093,-2.64164996
6,Charlcombe,Bath and North East Somerset,Nucleated,Undefended,4,19,18,113,31,185,51.41450119,-2.38560009
7,Stowey-Sutton,Bath and North East Somerset,Rural,Farmstead,9,32,17,74,3,135,51.33380127,-2.59351993
8,Timsbury,Bath and North East Somerset,PAS Rural,,36,18,6,8,1,69,51.32649994,-2.48112988
9,Combe_Hay,Bath and North East Somerset,Rural,Farmstead,1,13,3,8,10,35,51.34249878,-2.38399005
53,Odell,Bedfordshire,PAS Rural,,20,255,29,122,81,507,52.21820068,-0.5959
54,Maulden,Bedfordshire,PAS Rural,,30,66,22,89,17,224,52.02880096,-0.45545
55,Bletsoe,Bedfordshire,PAS Rural,,25,60,20,97,80,282,52.2201004,-0.49642
56,Stagsden,Bedfordshire,PAS Rural,,13,17,18,30,20,98,52.13029861,-0.57257003
57,Harrold,Bedfordshire,Rural,Industrial,2,14,14,38,56,124,52.20460129,-0.63556999
58,Melchbourne_and_Yielden,Bedfordshire,PAS Rural,,7,7,11,26,2,53,52.28469849,-0.50129002
59,Stewartby,Bedfordshire,Rural,Farmstead,7,25,0,1,0,33,52.07740021,-0.50909001
60,Podington,Bedfordshire,PAS Rural,,19,24,11,37,36,127,52.24959946,-0.61778998
61,Streatley,Bedfordshire,PAS Rural,,21,77,11,15,5,129,51.94319916,-0.42774999
62,Sandy,Bedfordshire,Nucleated,Defended vici,123,317,10,268,422,1140,52.13079834,-0.27020001
63,Knotting_and_Souldrop,Bedfordshire,PAS Rural,,6,14,8,14,7,49,52.25170135,-0.53864002
64,Sharnbrook,Bedfordshire,PAS Rural,,11,26,8,41,16,102,52.22650146,-0.54101998
65,Tilsworth,Bedfordshire,PAS Rural,,16,26,8,9,3,62,51.91009903,-0.57137001
66,Silsoe,Bedfordshire,PAS Rural,,10,20,7,4,5,46,52.00320053,-0.42418
67,Kempston,Bedfordshire,Nucleated,Undefended,48,180,7,198,192,625,52.11769867,-0.49970001
68,Wilshamstead,Bedfordshire,PAS Rural,,0,9,6,12,6,33,52.08169937,-0.43087
69,Houghton_Conquest,Bedfordshire,PAS Rural,,4,11,6,5,1,27,52.06570053,-0.47804999
70,"Wyboston,_Chawston_and_Colesden",Bedfordshire,PAS Rural,,5,6,6,47,32,96,52.19329834,-0.32306001
71,Stanbridge,Bedfordshire,PAS Rural,,2,19,5,13,6,45,51.90280151,-0.60663003
72,Dean_and_Shelton,Bedfordshire,PAS Rural,,5,13,5,12,2,37,52.30410004,-0.46250999
73,Willington,Bedfordshire,PAS Rural,,5,28,4,17,8,62,52.13079834,-0.36994001
74,Bolnhurst_and_Keysoe,Bedfordshire,PAS Rural,,8,10,4,14,19,55,52.23649979,-0.42684001
75,Renhold,Bedfordshire,Rural,Farmstead,0,15,3,14,4,36,52.15879822,-0.40555
76,Wilden,Bedfordshire,PAS Rural,,6,9,3,8,4,30,52.18740082,-0.39366999
77,Stondon,Bedfordshire,PAS Rural,,8,23,3,7,9,50,51.99599838,-0.31941
78,Shillington,Bedfordshire,PAS rural,,22,36,3,23,9,93,51.97740173,-0.37252
79,Wrestlingworth_and_Cockayne_Hatley,Bedfordshire,PAS Rural,,1,15,2,34,35,87,52.11759949,-0.16884001
80,Flitwick,Bedfordshire,PAS Rural,,7,5,1,11,9,33,52.00270081,-0.50415999
81,Ravensden,Bedfordshire,PAS rural,,13,14,1,16,3,47,52.17990112,-0.4445
182,Crowthorne,Berkshire,Nucleated,Undefended,35,42,13,8,9,107,51.375,-0.76064998
192,Stantonbury,Buckinghamshire,Rural,Villa,22,78,89,616,170,975,52.06209946,-0.77398998
193,Fleet_Marston,Buckinghamshire,PAS Rural,,38,159,39,182,167,585,51.83980179,-0.87435001
194,Haversham-cum-Little_Linford,Buckinghamshire,PAS Rural,,32,134,32,319,188,705,52.08660126,-0.78307003
195,Berryfields_Quarrendon,Buckinghamshire,Nucleated,Undefended,13,57,31,84,59,244,51.83959961,-0.85391998
196,Creslow,Buckinghamshire,PAS Rural,,31,65,27,90,29,242,51.88899994,-0.81652999
197,Aylesbury,Buckinghamshire,Nucleated,Undefended,23,58,20,64,22,187,51.81340027,-0.80321002
198,Bletchley_and_Fenny_Stratford,Buckinghamshire,Nucleated,Defended vici,7,27,18,105,28,185,51.99309921,-0.72871
199,Buckingham,Buckinghamshire,Rural,Temple,12,24,9,136,42,223,51.99720001,-0.97240001
200,Wing,Buckinghamshire,PAS Rural,,19,9,8,13,1,50,51.89759827,-0.73097003
201,Charndon,Buckinghamshire,PAS Rural,,5,6,7,8,2,28,51.91189957,-1.03118002
202,Cold_Brayfield,Buckinghamshire,PAS Rural,,6,13,7,38,36,100,52.16329956,-0.64528
203,Whitchurch,Buckinghamshire,PAS Rural,,10,7,7,31,9,64,51.88079834,-0.83901
204,Hardwick,Buckinghamshire,PAS rural,,4,6,6,14,13,43,51.86240005,-0.84342998
205,Hanslope,Buckinghamshire,PAS Rural,,10,10,6,33,6,65,52.12269974,-0.82757002
206,Chenies,Buckinghamshire,Rural,Villa,26,31,6,5,2,70,51.67060089,-0.53562999
207,Amersham,Buckinghamshire,Rural,Farmstead,4,24,5,41,30,104,51.66699982,-0.62318999
208,Kingsey,Buckinghamshire,PAS Rural,,6,11,5,15,10,47,51.75310135,-0.92041999
209,Haddenham,Buckinghamshire,PAS rural,,9,16,5,32,30,92,51.77360153,-0.93041998
210,Quainton,Buckinghamshire,PAS Rural,,1,2,4,17,5,29,51.8791008,-0.93668002
211,West_Bletchley,Buckinghamshire,Rural,Farmstead,3,15,4,4,0,26,51.99850082,-0.75439
212,Drayton_Beauchamp,Buckinghamshire,Rural,Farmstead,0,11,2,6,9,28,51.80379868,-0.69602001
213,Great_Linford,Buckinghamshire,Rural,Farmstead,0,3,2,19,2,26,52.06620026,-0.74576002
214,Stone_with_Bishopstone_and_Hartwell,Buckinghamshire,PAS Rural,,6,20,2,34,10,72,51.79909897,-0.84790999
215,Walton,Buckinghamshire,Rural,Farmstead,28,19,2,30,16,95,52.01689911,-0.69270003
216,Broughton,Buckinghamshire,Rural,Farmstead,36,55,2,24,21,138,52.05070114,-0.68689001
385,Colne,Cambridgeshire,Nucleated,Undefended,61,426,169,926,428,2010,52.36999893,0.004871
386,Wimblington,Cambridgeshire,Nucleated,Undefended,350,356,71,207,101,1085,52.50780106,0.119509
387,Water_Newton,Cambridgeshire,Urban,Civitas capital,104,419,68,645,375,1611,52.55199814,-0.36579999
388,Offord_Cluny_and_Offord_D'Arcy,Cambridgeshire,PAS Rural,,22,126,58,447,227,880,52.27870178,-0.20139
389,Knapwell,Cambridgeshire,PAS Rural,,41,68,53,102,8,272,52.23389816,-0.05495
390,Pidley_cum_Fenton,Cambridgeshire,PAS Rural,,47,100,48,58,19,272,52.38729858,-0.03866
391,Histon,Cambridgeshire,PAS Rural,,19,53,41,103,60,276,52.25669861,0.107599
392,Orton_Waterville,Cambridgeshire,PAS rural,,3,22,0,46,45,116,52.55130005,-0.30961999
393,Castle_Camps,Cambridgeshire,PAS Rural,,19,53,28,44,15,159,52.05810165,0.36344501
394,West_Wickham,Cambridgeshire,PAS Rural,,8,38,24,132,21,223,52.11729813,0.35558999
395,Weston_Colville,Cambridgeshire,PAS Rural,,38,36,20,163,138,395,52.15159988,0.360502
396,Boxworth,Cambridgeshire,PAS Rural,,5,46,19,51,21,142,52.24850082,-0.03206
397,Cambridge,Cambridgeshire,Nucleated,Defended vici,73,92,18,82,94,359,52.204862,0.11968025
398,West_Wratting,Cambridgeshire,PAS Rural,,14,17,16,41,33,121,52.14509964,0.33069101
399,Whittlesford,Cambridgeshire,PAS Rural,,24,89,16,38,35,202,52.11000061,0.141754
400,Alconbury_Weston,Cambridgeshire,PAS Rural,,9,18,15,53,28,123,52.37919998,-0.27697
401,Carlton,Cambridgeshire,PAS rural,,5,24,14,105,46,194,52.1590004,0.38108
402,Ellington,Cambridgeshire,PAS Rural,,2,13,12,13,5,45,52.33160019,-0.2931
403,Buckden,Cambridgeshire,PAS Rural,,6,41,12,85,75,219,52.29669952,-0.25202999
404,Soham,Cambridgeshire,PAS Rural,,20,46,12,42,19,139,52.36130142,0.31648901
405,Great_and_Little_Chishill,Cambridgeshire,PAS Rural,,38,25,12,16,8,99,52.03070068,0.064709
406,Longstanton,Cambridgeshire,PAS Rural,,3,18,11,53,54,139,52.28160095,0.046398
407,Whittlesey,Cambridgeshire,Nucleated,Undefended,6,28,10,7,6,57,52.54230118,-0.10487
408,Foxton,Cambridgeshire,PAS Rural,,20,26,10,17,6,79,52.11619949,0.064816
409,Godmanchester,Cambridgeshire,Nucleated,Defended vici,25,51,10,63,61,210,52.30550003,-0.17395
410,Haddenham,Cambridgeshire,Rural,Temple,11,42,9,9,0,71,52.35189819,0.104501
411,Heydon,Cambridgeshire,PAS Rural,,15,19,9,11,1,55,52.05160141,0.0817
412,Chesterton,Cambridgeshire,PAS Rural,,8,21,8,69,24,130,52.54349899,-0.34237
413,Somersham,Cambridgeshire,PAS Rural,,11,26,8,63,35,143,52.38169861,-0.00484
414,Harlton,Cambridgeshire,PAS Rural,,1,15,6,36,55,113,52.15869904,0.028711
415,The_Stukeleys,Cambridgeshire,PAS rural,,5,11,6,17,15,54,52.35810089,-0.21619
416,Wimpole,Cambridgeshire,Nucleated,Undefended,11,12,6,34,20,83,52.13790131,-0.04923
417,Sawtry,Cambridgeshire,Nucleated,Undefended,11,49,5,69,22,156,52.42520142,-0.27548999
